"","X","season","gameid","teamid","opp","win","team_bpi","opp_bpi","bpi_diff","team_seed","opp_seed","wprob","count","sqrt_count","log_count"
"1",1,2012,"2012_1140_1233",1140,1233,1,71.1,71.3,-0.200000000000003,"14","14",0.5,0,0,-4.60517018598809
"2",2,2012,"2012_1290_1443",1290,1443,0,40.3,46.2,-5.90000000000001,"16","16",0.5,12,3.46410161513775,2.48573963609189
"3",3,2012,"2012_1143_1378",1143,1378,0,76.9,69.4,7.5,"12","12",0.5,1,1,0.00995033085316809
"4",4,2012,"2012_1249_1436",1249,1436,0,61.1,56.3,4.8,"16","16",0.5,12,3.46410161513775,2.48573963609189
"5",5,2012,"2012_1124_1355",1124,1355,1,81.7,66.6,15.1,"03","14",0.851851851851852,108,10.3923048454133,4.68222381543038
"6",6,2012,"2012_1160_1424",1160,1424,1,65.3,75.9,-10.6,"11","06",0.333333333333333,108,10.3923048454133,4.68222381543038
"7",7,2012,"2012_1211_1452",1211,1452,1,79.2,73.6,5.60000000000001,"07","10",0.601851851851852,108,10.3923048454133,4.68222381543038
"8",8,2012,"2012_1231_1308",1231,1308,1,82.1,70.1,12,"04","13",0.787037037037037,108,10.3923048454133,4.68222381543038
"9",9,2012,"2012_1163_1235",1163,1235,0,76,76.4,-0.400000000000006,"09","08",0.527777777777778,108,10.3923048454133,4.68222381543038
"10",10,2012,"2012_1243_1379",1243,1379,1,78.4,71.7,6.7,"08","09",0.472222222222222,108,10.3923048454133,4.68222381543038
"11",11,2012,"2012_1246_1443",1246,1443,1,92.4,46.2,46.2,"01","16",1,108,10.3923048454133,4.68222381543038
"12",12,2012,"2012_1172_1257",1172,1257,0,68.9,82.5,-13.6,"13","04",0.212962962962963,108,10.3923048454133,4.68222381543038
"13",13,2012,"2012_1140_1266",1140,1266,0,71.1,80.7,-9.60000000000001,"14","03",0.148148148148148,108,10.3923048454133,4.68222381543038
"14",14,2012,"2012_1161_1293",1161,1293,0,67.6,73.2,-5.60000000000001,"11","06",0.333333333333333,108,10.3923048454133,4.68222381543038
"15",15,2012,"2012_1253_1307",1253,1307,0,73.3,79.1,-5.8,"12","05",0.333333333333333,108,10.3923048454133,4.68222381543038
"16",16,2012,"2012_1259_1326",1259,1326,0,59.9,88.6,-28.7,"15","02",0.037037037037037,108,10.3923048454133,4.68222381543038
"17",17,2012,"2012_1393_1421",1393,1421,1,90.2,62.1,28.1,"01","16",1,108,10.3923048454133,4.68222381543038
"18",18,2012,"2012_1433_1455",1433,1455,1,72.3,83.3,-11,"12","05",0.333333333333333,108,10.3923048454133,4.68222381543038
"19",19,2012,"2012_1217_1435",1217,1435,0,73.6,80.2,-6.60000000000001,"12","05",0.333333333333333,108,10.3923048454133,4.68222381543038
"20",20,2012,"2012_1285_1458",1285,1458,0,63.8,81.7,-17.9,"13","04",0.212962962962963,108,10.3923048454133,4.68222381543038
"21",21,2012,"2012_1153_1400",1153,1400,1,75.1,78,-2.90000000000001,"06","11",0.666666666666667,108,10.3923048454133,4.68222381543038
