"","season","gameid","teamid","opp","win","team_bpi","opp_bpi","bpi_diff"
"1",2012,"2012_1140_1233",1140,1233,1,71.1,71.3,-0.200000000000003
"2",2012,"2012_1290_1443",1290,1443,0,40.3,46.2,-5.90000000000001
"3",2012,"2012_1143_1378",1143,1378,0,76.9,69.4,7.5
"4",2012,"2012_1249_1436",1249,1436,0,61.1,56.3,4.8
"5",2012,"2012_1124_1355",1124,1355,1,81.7,66.6,15.1
"6",2012,"2012_1160_1424",1160,1424,1,65.3,75.9,-10.6
"7",2012,"2012_1211_1452",1211,1452,1,79.2,73.6,5.60000000000001
"8",2012,"2012_1231_1308",1231,1308,1,82.1,70.1,12
"9",2012,"2012_1163_1235",1163,1235,0,76,76.4,-0.400000000000006
"10",2012,"2012_1243_1379",1243,1379,1,78.4,71.7,6.7
"11",2012,"2012_1246_1443",1246,1443,1,92.4,46.2,46.2
"12",2012,"2012_1172_1257",1172,1257,0,68.9,82.5,-13.6
"13",2012,"2012_1140_1266",1140,1266,0,71.1,80.7,-9.60000000000001
"14",2012,"2012_1161_1293",1161,1293,0,67.6,73.2,-5.60000000000001
"15",2012,"2012_1253_1307",1253,1307,0,73.3,79.1,-5.8
"16",2012,"2012_1259_1326",1259,1326,0,59.9,88.6,-28.7
"17",2012,"2012_1393_1421",1393,1421,1,90.2,62.1,28.1
"18",2012,"2012_1433_1455",1433,1455,1,72.3,83.3,-11
"19",2012,"2012_1217_1435",1217,1435,0,73.6,80.2,-6.60000000000001
"20",2012,"2012_1285_1458",1285,1458,0,63.8,81.7,-17.9
"21",2012,"2012_1153_1400",1153,1400,1,75.1,78,-2.90000000000001
"22",2012,"2012_1104_1166",1104,1166,0,78,78.4,-0.400000000000006
"23",2012,"2012_1196_1438",1196,1438,1,80.8,77.9,2.89999999999999
"24",2012,"2012_1199_1382",1199,1382,1,77.8,69.4,8.39999999999999
"25",2012,"2012_1125_1207",1125,1207,0,75.1,80.2,-5.10000000000001
"26",2012,"2012_1178_1242",1178,1242,0,58.3,87.7,-29.4
"27",2012,"2012_1181_1250",1181,1250,0,85.4,63.7,21.7
"28",2012,"2012_1254_1277",1254,1277,0,53.4,87.4,-34
"29",2012,"2012_1301_1361",1301,1361,1,73.7,73.5,0.200000000000003
"30",2012,"2012_1281_1313",1281,1313,0,85.7,47.8,37.9
"31",2012,"2012_1314_1436",1314,1436,1,88.4,56.3,32.1
"32",2012,"2012_1276_1325",1276,1325,0,75.9,68.3,7.60000000000001
"33",2012,"2012_1345_1388",1345,1388,1,73.8,73.9,-0.100000000000009
"34",2012,"2012_1378_1396",1378,1396,1,69.4,77.3,-7.89999999999999
"35",2012,"2012_1272_1387",1272,1387,0,83.6,79.9,3.69999999999999
"36",2012,"2012_1323_1462",1323,1462,0,70.3,70.8,-0.5
"37",2012,"2012_1124_1160",1124,1160,1,81.7,65.3,16.4
"38",2012,"2012_1231_1433",1231,1433,1,82.1,72.3,9.8
"39",2012,"2012_1235_1246",1235,1246,0,76.4,92.4,-16
"40",2012,"2012_1257_1307",1257,1307,1,82.5,79.1,3.40000000000001
"41",2012,"2012_1266_1293",1266,1293,1,80.7,73.2,7.5
"42",2012,"2012_1211_1326",1211,1326,0,79.2,88.6,-9.39999999999999
"43",2012,"2012_1243_1393",1243,1393,0,78.4,90.2,-11.8
"44",2012,"2012_1435_1458",1435,1458,0,80.2,81.7,-1.5
"45",2012,"2012_1153_1199",1153,1199,1,75.1,77.8,-2.7
"46",2012,"2012_1196_1313",1196,1313,1,80.8,47.8,33
"47",2012,"2012_1242_1345",1242,1345,1,87.7,73.8,13.9
"48",2012,"2012_1277_1387",1277,1387,1,87.4,79.9,7.5
"49",2012,"2012_1207_1301",1207,1301,0,80.2,73.7,6.5
"50",2012,"2012_1166_1314",1166,1314,0,78.4,88.4,-10
"51",2012,"2012_1325_1378",1325,1378,1,68.3,69.4,-1.10000000000001
"52",2012,"2012_1250_1462",1250,1462,0,63.7,70.8,-7.09999999999999
"53",2012,"2012_1196_1266",1196,1266,1,80.8,80.7,0.0999999999999943
"54",2012,"2012_1257_1277",1257,1277,1,82.5,87.4,-4.90000000000001
"55",2012,"2012_1153_1326",1153,1326,0,75.1,88.6,-13.5
"56",2012,"2012_1393_1458",1393,1458,1,90.2,81.7,8.5
"57",2012,"2012_1124_1462",1124,1462,1,81.7,70.8,10.9
"58",2012,"2012_1242_1301",1242,1301,1,87.7,73.7,14
"59",2012,"2012_1231_1246",1231,1246,0,82.1,92.4,-10.3
"60",2012,"2012_1314_1325",1314,1325,1,88.4,68.3,20.1
"61",2012,"2012_1196_1257",1196,1257,0,80.8,82.5,-1.7
"62",2012,"2012_1326_1393",1326,1393,1,88.6,90.2,-1.60000000000001
"63",2012,"2012_1242_1314",1242,1314,1,87.7,88.4,-0.700000000000003
"64",2012,"2012_1124_1246",1124,1246,0,81.7,92.4,-10.7
"65",2012,"2012_1242_1326",1242,1326,1,87.7,88.6,-0.899999999999991
"66",2012,"2012_1246_1257",1246,1257,1,92.4,82.5,9.90000000000001
"67",2012,"2012_1242_1246",1242,1246,0,87.7,92.4,-4.7
"68",2013,"2013_1251_1299",1251,1299,0,36.2,39.8,-3.59999999999999
"69",2013,"2013_1292_1388",1292,1388,0,74.5,76.5,-2
"70",2013,"2013_1241_1254",1241,1254,1,48.2,48,0.200000000000003
"71",2013,"2013_1129_1247",1129,1247,0,74.5,72,2.5
"72",2013,"2013_1112_1125",1112,1125,1,83,73.7,9.3
"73",2013,"2013_1137_1139",1137,1139,0,71.1,74.7,-3.60000000000001
"74",2013,"2013_1143_1424",1143,1424,1,72,78.8,-6.8
"75",2013,"2013_1161_1281",1161,1281,1,78.5,79.5,-1
"76",2013,"2013_1211_1380",1211,1380,1,87.4,49.9,37.5
"77",2013,"2013_1217_1307",1217,1307,1,59.6,84,-24.4
"78",2013,"2013_1257_1299",1257,1299,1,91.3,39.8,51.5
"79",2013,"2013_1172_1266",1172,1266,0,68.3,80.4,-12.1
"80",2013,"2013_1272_1388",1272,1388,1,81,76.5,4.5
"81",2013,"2013_1276_1355",1276,1355,1,84.1,60.2,23.9
"82",2013,"2013_1277_1434",1277,1434,1,83.7,70.1,13.6
"83",2013,"2013_1329_1332",1329,1332,0,81.4,76.9,4.5
"84",2013,"2013_1308_1387",1308,1387,0,66.4,80.9,-14.5
"85",2013,"2013_1285_1393",1285,1393,0,56.4,83.5,-27.1
"86",2013,"2013_1103_1433",1103,1433,0,73.5,80.2,-6.7
"87",2013,"2013_1338_1455",1338,1455,0,83,79.2,3.8
"88",2013,"2013_1153_1166",1153,1166,0,76.7,83.1,-6.39999999999999
"89",2013,"2013_1107_1181",1107,1181,0,51.6,88.5,-36.9
"90",2013,"2013_1195_1207",1195,1207,1,56.2,82.2,-26
"91",2013,"2013_1196_1322",1196,1322,1,89,57.2,31.8
