"","team","seed2","team_name2","bpi"
"1",1437,"01","villanova",90.2
"2",1438,"02","virginia",90.9
"3",1328,"03","oklahoma",83.5
"4",1257,"04","louisville",82.3
"5",1320,"05","northern iowa",83.3
"6",1344,"06","providence",76.6
"7",1277,"07","michigan st",81.1
"8",1301,"08","nc state",74.8
"9",1261,"09","lsu",73.9
"10",1208,"10","georgia",77.3
"11",1129,"11","boise st",71.4
"12",1173,"11","dayton",76.7
"13",1461,"12","wyoming",61.9
"14",1414,"13","uc irvine",62.3
"15",1107,"14","albany ny",57
"16",1125,"15","belmont",54.1
"17",1248,"16","lafayette",48.4
"18",1181,"01","duke",87.8
"19",1211,"02","gonzaga",90.4
"20",1235,"03","iowa st",83.3
"21",1207,"04","georgetown",79.9
"22",1428,"05","utah",83.3
"23",1374,"06","smu",79.2
"24",1234,"07","iowa",75.4
"25",1361,"08","san diego st",73.3
"26",1385,"09","st john's",72.3
"27",1172,"10","davidson",76.7
"28",1417,"11","ucla",73
"29",1372,"12","sf austin",71.9
"30",1186,"13","e washington",55.8
"31",1412,"14","uab",56.2
"32",1295,"15","n dakota st",50.7
"33",1316,"16","north florida",56.4
"34",1352,"16","robert morris",47.3
"35",1246,"01","kentucky",95.3
"36",1242,"02","kansas",86.4
"37",1323,"03","notre dame",84.2
"38",1268,"04","maryland",78.2
"39",1452,"05","west virginia",79.4
"40",1139,"06","butler",79.3
"41",1455,"07","wichita st",83.3
"42",1153,"08","cincinnati",73
"43",1345,"09","purdue",74.5
"44",1231,"10","indiana",72.9
"45",1400,"11","texas",78.8
"46",1138,"12","buffalo",71.3
"47",1434,"13","valparaiso",67.7
"48",1318,"14","northeastern",58.4
"49",1308,"15","new mexico st",62.7
"50",1214,"16","hampton",34.3
"51",1264,"16","manhattan",51.6
"52",1458,"01","wisconsin",91.8
"53",1112,"02","arizona",91
"54",1124,"03","baylor",81.1
"55",1314,"04","north carolina",83.7
"56",1116,"05","arkansas",79.9
"57",1462,"06","xavier",77.4
"58",1433,"07","va commonwealth",78.4
"59",1332,"08","oregon",72.9
"60",1329,"09","oklahoma st",72.9
"61",1326,"10","ohio st",82.2
"62",1140,"11","byu",77.2
"63",1279,"11","mississippi",75.3
"64",1459,"12","wofford",64
"65",1217,"13","harvard",65.7
"66",1209,"14","georgia st",65.9
"67",1411,"15","tx southern",45.5
"68",1157,"16","coastal car",57.4
