team,conference,bpi,pva,conf_rank,w_l,raw,raw_rank,sos,sos_rank,var,var_rank
Arizona,Pac-12,91.1,18.9,1,33-5,76.4,3,64.7,40,6.7,351
Florida,SEC,90.1,17.9,1,36-3,76.1,4,64,53,7.3,349
Louisville,American,88.3,16.4,1,31-6,80.5,2,57.8,100,9.3,347
Wichita State,MVC,88.2,16.3,1,35-1,83.6,1,54.5,114,7,350
Virginia,ACC,86.9,15.3,1,30-7,73.7,8,63.2,60,11.6,339
Kansas,Big 12,86.7,15.2,1,25-10,67.6,32,69.1,4,11.3,342
Wisconsin,Big Ten,85.8,14.6,1,30-8,69.7,15,66.1,23,12.6,335
Kentucky,SEC,85.5,14.4,2,29-11,65.8,36,69.6,1,11.1,344
Michigan State,Big Ten,85.1,14.2,2,29-9,68.7,22,66.4,17,12.9,327
Villanova,Big East,85,14.1,1,29-5,72.7,9,62.3,75,13.1,324
Syracuse,ACC,84,13.4,2,28-6,70.2,13,63.7,58,13.2,321
Iowa State,Big 12,83.8,13.3,2,28-8,64.6,42,69.2,3,11.6,340
Duke,ACC,83.7,13.3,3,26-9,69,18,64.7,42,14.9,296
Pittsburgh,ACC,83.4,13.1,4,26-10,67.9,30,65.5,31,11.1,345
UCLA,Pac-12,83.2,13,2,28-9,69.4,17,63.8,57,14.6,301
Ohio State,Big Ten,82.8,12.7,3,25-10,67.2,33,65.6,29,13.2,322
VCU,A 10,82.3,12.5,1,26-9,69.5,16,62.8,68,13.6,316
Connecticut,American,82.3,12.5,2,32-8,67,35,65.3,35,14.3,303
Oklahoma St,Big 12,81.8,12.2,3,21-13,65.5,39,66.3,18,12.6,334
Michigan,Big Ten,81.8,12.2,4,28-9,64.5,45,67.4,8,14,309
Oregon,Pac-12,81.6,12.1,3,24-10,65,40,66.6,15,12.7,331
Creighton,Big East,81.5,12,2,27-8,69.7,14,61.8,81,15.7,283
San Diego State,MW,81.2,11.9,1,31-5,71.6,11,59.6,91,11.8,338
Cincinnati,American,80.4,11.4,3,27-7,68.6,23,61.8,82,13.5,317
Tennessee,SEC,80,11.3,3,24-13,68.8,20,61.2,84,16.2,271
Iowa,Big Ten,80,11.2,5,20-13,64.6,44,65.4,32,12.7,332
Gonzaga,WCC,79.7,11.1,1,29-7,71,12,58.7,97,16.3,266
New Mexico,MW,79.5,11,2,27-7,67.1,34,62.4,74,13.7,313
North Carolina,ACC,79.4,10.9,5,24-10,62.4,56,66.9,11,14.9,295
Oklahoma,Big 12,79.2,10.8,4,23-10,61.1,66,68,6,13.8,312
SMU,American,78.9,10.7,4,27-10,68.6,26,60.3,87,13.7,314
Saint Louis,A 10,77.9,10.2,2,27-7,65.6,37,62.3,76,12.8,329
Harvard,Ivy,76.5,9.6,1,27-5,73.7,7,52.8,123,12.7,333
Massachusetts,A 10,76.4,9.5,3,24-9,59.6,77,66.8,13,14.6,300
Baylor,Big 12,76.2,9.4,5,26-12,61.8,61,64.4,45,18.7,169
Stanford,Pac-12,76.1,9.4,4,23-13,58.1,91,67.9,7,17.9,207
G. Washington,A 10,75.5,9.1,4,24-9,62.2,57,63.2,61,17.6,219
Utah,Pac-12,75.4,9.1,5,21-12,64.6,43,60.7,85,13.3,319
Maryland,ACC,75.1,9,6,17-15,55.7,118,69.4,2,16.2,267
